City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,50.0,66,20,4.61,few clouds
1,Port-Gentil,GA,-0.7193,8.7815,80.46,74,100,1.81,overcast clouds
2,Kralendijk,BQ,12.15,-68.2667,78.8,78,75,13.8,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,80.11,73,8,11.52,light rain
4,Broome,US,42.2506,-75.833,51.8,24,1,6.91,clear sky
5,San-Pedro,CI,4.7485,-6.6363,76.39,92,56,6.17,broken clouds
6,Laguna,US,38.421,-121.4238,62.6,39,20,4.61,few clouds
7,Tshela,CD,-4.9833,12.9333,71.55,97,100,0.69,overcast clouds
8,Port Augusta,AU,-32.5,137.7667,82.99,69,0,11.5,clear sky
9,Susangerd,IR,31.5608,48.1831,64.4,59,0,9.91,clear sky
10,Santo Domingo,DO,18.5001,-69.9886,78.01,94,20,4.61,few clouds
11,Pisco,PE,-13.7,-76.2167,69.8,78,0,13.8,clear sky
12,Batagay,RU,67.6333,134.6333,-7.78,90,100,8.88,overcast clouds
13,Itaqui,BR,-29.1253,-56.5531,69.89,90,99,7.07,overcast clouds
14,Oil City,US,41.4339,-79.7064,53.6,22,1,8.05,clear sky
15,Flinders,AU,-34.5833,150.8552,66.99,99,100,7.0,moderate rain
16,Kropotkin,RU,45.4375,40.5756,43.0,46,100,7.65,overcast clouds
17,Severo-Kurilsk,RU,50.6789,156.125,30.9,74,51,25.61,broken clouds
18,Faanui,PF,-16.4833,-151.75,83.79,73,10,15.08,light rain
19,Fairbanks,US,64.8378,-147.7164,24.8,36,1,6.91,clear sky
20,Mataura,NZ,-46.1927,168.8643,57.0,92,79,5.99,broken clouds
21,Hirna,ET,9.2167,41.1,57.85,25,24,0.72,few clouds
22,Tarakan,ID,3.3,117.6333,80.15,79,100,8.99,heavy intensity rain
23,Vaini,TO,-21.2,-175.2,80.6,83,75,6.91,smoke
24,Olafsvik,IS,64.8945,-23.7142,36.12,67,100,27.51,overcast clouds
25,Chokurdakh,RU,70.6333,147.9167,-8.9,89,90,9.64,overcast clouds
26,Southbridge,US,42.0751,-72.0334,42.01,71,0,3.27,clear sky
27,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,40,5.75,scattered clouds
28,Saskylakh,RU,71.9167,114.0833,-25.1,94,38,5.59,scattered clouds
29,Kiruna,SE,67.8557,20.2251,39.2,70,100,20.71,overcast clouds
30,Geraldton,AU,-28.7667,114.6,75.2,43,0,19.57,clear sky
31,Barrow,US,71.2906,-156.7887,-7.6,64,90,5.75,overcast clouds
32,Bredasdorp,ZA,-34.5322,20.0403,66.2,72,11,13.8,few clouds
33,Boa Vista,BR,2.8197,-60.6733,84.2,61,0,10.36,clear sky
34,Jamestown,US,42.097,-79.2353,53.6,17,1,6.29,clear sky
35,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,0,5.75,clear sky
36,Bukama,CD,-9.2,25.85,67.19,97,100,2.55,overcast clouds
37,Yeppoon,AU,-23.1333,150.7333,80.6,83,75,8.05,broken clouds
38,Touros,BR,-5.1989,-35.4608,77.0,94,20,3.44,few clouds
39,Hermanus,ZA,-34.4187,19.2345,66.0,77,1,11.01,clear sky
40,Ammon,US,43.4696,-111.9666,33.8,93,90,6.91,overcast clouds
41,Carutapera,BR,-1.195,-46.02,72.48,94,78,1.66,broken clouds
42,Thinadhoo,MV,0.5333,72.9333,82.96,67,39,5.86,scattered clouds
43,Norman Wells,CA,65.282,-126.8329,-2.2,65,20,8.05,few clouds
44,Puerto Colombia,CO,10.9878,-74.9547,78.8,83,20,5.75,few clouds
45,Bluff,NZ,-46.6,168.3333,57.0,92,90,5.99,overcast clouds
